# verification-tokens.tsv — 단계 5a 형태소 공간 일치 검증 덤프 (offline collector `dump-tokens` output)
# source: eval/hanja-context-eval-set.tsv (195 rows, file order)
# kiwi: vendored Kiwi/bindings/swift (engine 0.23.1), model: woorilee/KiwiModels
# analyze: topN=1 options=[.allWithNormalizing, .joinNounPrefix, .joinNounSuffix] (raw=8847423)
# content tags: NNG,NNP,VV,VV-I,VA,VA-I,MAG,XR; feature key form/TAG (TAG = POSTag.description);
#   raw filtered token sequence — no dedupe, no cap. Pinned by
#   woorileeTests/KiwiOfflinePipelineConsistencyTests.swift against the runtime constants
#   in woorilee/KiwiAnalysisService.swift (realtimeAnalysisMatchOptions / isContextContentMorphemeTag).
# format: sentence<TAB>form/TAG,form/TAG,...
수도관이 낡아서 상하수도 공사를 다시 해야 한다.	수도관/NNG,낡/VA,상하수도/NNG,공사/NNG,다시/MAG,하/VV
집집마다 수도 계량기를 새로 교체하는 작업이 진행 중이다.	집집/NNG,수도/NNG,계량기/NNG,새로/MAG,교체/NNG,작업/NNG,진행/NNG
가뭄이 심해지자 수돗물 대신 수도 공급을 제한하기로 했다.	가뭄/NNG,심하/VA,수돗물/NNG,대신/NNG,수도/NNG,공급/NNG,제한/NNG,하/VV
그는 속세를 떠나 산속 수도 생활에 전념하기로 결심했다.	속세/NNG,떠나/VV,산속/NNG,수도/NNG,생활/NNG,전념/NNG,결심/NNG
젊은 시절 그녀는 수도원에 들어가 수도 생활을 시작했다.	젊/VA,시절/NNG,수도원/NNG,들어가/VV,수도/NNG,생활/NNG,시작/NNG
스님은 십 년째 깊은 산중에서 수도에 정진하고 있다.	스님/NNG,깊/VA,산중/NNG,수도/NNG,정진/NNG
대한민국의 수도는 서울이고 일본의 수도는 도쿄이다.	대한민국/NNP,수도/NNG,서울/NNP,일본/NNP,수도/NNG,도쿄/NNP
전쟁이 나자 정부는 수도를 임시로 다른 도시로 옮겼다.	전쟁/NNG,나/VV,정부/NNG,수도/NNG,임시/NNG,도시/NNG,옮기/VV
그 나라는 새 수도를 건설하기 위해 막대한 예산을 투입했다.	나라/NNG,수도/NNG,건설/NNG,위하/VV,막대/XR,예산/NNG,투입/NNG
마트에서 산 사과가 너무 달고 아삭해서 다시 사러 갔다.	마트/NNG,살/VV,사과/NNG,너무/MAG,달/VA,아삭/MAG,다시/MAG,사/VV,가/VV
가을이 되면 과수원에서 빨갛게 익은 사과를 딴다.	가을/NNG,되/VV,과수원/NNG,빨갛/VA-I,익/VV,사과/NNG,따/VV
아이는 사과 한 조각을 집어 들고 맛있게 먹었다.	아이/NNG,사과/NNG,조각/NNG,집/VV,들/VV,맛있/VA,먹/VV
그는 실수를 인정하고 정중하게 사과의 말을 전했다.	실수/NNG,인정/NNG,정중/XR,사과/NNG,말/NNG,전하/VV
회사는 소비자들에게 사과 성명을 발표했다.	회사/NNG,소비자들/NNG,사과/NNG,성명/NNG,발표/NNG
친구에게 상처 준 것에 대해 진심으로 사과했다.	친구/NNG,상처/NNG,주/VV,대하/VV,진심/NNG,사과/NNG
이 정도 실력이면 대회에 나가도 손색이 없다.	정도/NNG,실력/NNG,대회/NNG,나가/VV,손색/NNG,없/VA
그 사람의 피해 정도를 정확히 파악해야 한다.	사람/NNG,피해/NNG,정도/NNG,정확히/MAG,파악/NNG
어느 정도 예상은 했지만 결과가 이렇게 나쁠 줄은 몰랐다.	정도/NNG,예상/NNG,하/VV,결과/NNG,이렇/VA-I,나쁘/VA,모르/VV
그는 원칙을 지키며 정도를 걷는 정치인으로 평가받는다.	원칙/NNG,지키/VV,정도/NNG,걷/VV-I,정치인/NNG,평가/NNG,받/VV
사업을 하더라도 정도를 벗어나서는 안 된다.	사업/NNG,하/VV,정도/NNG,벗어나/VV,안/MAG,되/VV
편법 대신 정도를 택하는 것이 결국 오래간다.	편법/NNG,대신/NNG,정도/NNG,택하/VV,결국/NNG,오래가/VV
